Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripci¢ dia setmana,Dia setmana,Descripci¢ tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripci¢ causa vianant,tipus de vehicle,Descripci¢ model,Descripci¢ marca,Descripci¢ color,Descripci¢ carnet,Antiguitat carnet,Coordenada UTM (Y),Coordenada UTM (X)
2014S003430,2,Eixample,7,la Dreta de l'Eixample,268003,Proven‡a,0294 0294,Divendres,Dv,Laboral,2014,5,Maig,9,19,Desobeir el senyal del sem…for,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4583089,45","429979,46"
2014S004228,1,Ciutat Vella,1,el Raval,34308,Rambla,0011 0011,Dimarts,Dm,Laboral,2014,6,Juny,10,0,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4581218,47","431170,35"
2014S002439,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,0540 0542,Dimecres,Dc,Laboral,2014,4,Abril,2,16,No ‚s causa del  vianant,Bicicleta,Desconegut,CONOR,Gris,Desconegut,Desconegut,"4581782,8","429840,96"
2014S001078,2,Eixample,7,la Dreta de l'Eixample,144601,Diagonal,0393 0393,Dimarts,Dm,Laboral,2014,2,Febrer,11,20,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"4583243,89","429675,87"
2014S003432,2,Eixample,5,el Fort Pienc,100800,Diputaci¢,0449 0451,Divendres,Dv,Laboral,2014,5,Maig,9,20,No ‚s causa del  vianant,Bicicleta,Desconegut,BICING,Desconegut,Desconegut,Desconegut,"4583735,16","431564,07"
2014S002569,2,Eixample,7,la Dreta de l'Eixample,278459,Reina Vict•ria,9998 9998,Dilluns,Dl,Laboral,2014,4,Abril,7,8,No ‚s causa del  vianant,Bicicleta,Desconegut,BICING,Blanc,Desconegut,Desconegut,"4582492,24","430534,35"
2014S003137,2,Eixample,7,la Dreta de l'Eixample,225500,N…pols,0183 0183,Dilluns,Dl,Laboral,2014,4,Abril,28,23,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4583491,16","431168,22"
2014S003986,6,Gr…cia,28,Vallcarca i els Penitents,32200,Balears,0001 0001,Divendres,Dv,Laboral,2014,5,Maig,30,15,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4585283,04","428809,54"
2014S000108,7,Horta-Guinard¢,43,Horta,701268,Dalt (Llobregat),1240000,Dimarts,Dm,Laboral,2014,1,Gener,7,11,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4587927,9","429315,1"
2014S002986,3,Sants-Montju‹c,11,el Poble Sec,329902,Tamarit,0085 0087,Dimecres,Dc,Laboral,2014,4,Abril,23,18,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"4580895,08","429469,82"
