Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció causa vianant,tipus de vehicle,Descripció model,Descripció marca,Descripció color,Descripció carnet,Antiguitat carnet,Coordenada UTM (Y),Coordenada UTM (X)
2015S000654,10,Sant Martí,64,el Camp de l'Arpa del Clot,286300,Rogent,0051 0051,Dimarts,Dm,Laboral,2015,1,Gener,27,11,No és causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4584826,12","431819,65"
2015S008214,10,Sant Martí,65,el Clot,169409,Corts Catalanes,0871 0871,Diumenge,Dg,Laboral,2015,11,Novembre,1,16,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4584523,33","432562,44"
2015S004248,10,Sant Martí,65,el Clot,209900,Meridiana,0198 0198,Dimecres,Dc,Laboral,2015,6,Juny,3,9,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,B,Desconegut,"4585230,06","432171,99"
2015S002213,10,Sant Martí,72,Sant Martí de Provençals,153205,Guipúscoa,0027 0027,Dilluns,Dl,Laboral,2015,3,Març,23,20,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4585285,75","432752,43"
2015S000664,10,Sant Martí,65,el Clot,1604,Sèquia Comtal,0016 0016,Dimarts,Dm,Laboral,2015,1,Gener,27,16,Desobeir el senyal del semàfor,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"4584619,76","432170,35"
2015S004855,10,Sant Martí,73,la Verneda i la Pau,195409,Maresme,0262X0262X,Dimarts,Dm,Laboral,2015,6,Juny,23,13,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4586050,42","433522,55"
2015S005037,10,Sant Martí,68,el Poblenou,270901,Pujades,0154 0154,Dimarts,Dm,Laboral,2015,6,Juny,30,13,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Altres,Desconegut,Desconegut,"4583662,76","433105,16"
2015S000029,10,Sant Martí,68,el Poblenou,123601,Fernando Poo,0069 0069,Dissabte,Ds,Laboral,2015,1,Gener,3,10,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"4583662,58","433817,19"
2015S003786,10,Sant Martí,68,el Poblenou,701265,Litoral (Besòs),710000,Dissabte,Ds,Laboral,2015,5,Maig,16,15,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"4583519,18","433984,65"
2015S003863,10,Sant Martí,67,la Vila Olímpica del Poblenou,186703,Llull,0028 0028,Dimarts,Dm,Laboral,2015,5,Maig,19,20,No és causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4582851,57","432438,57"
2015S008488,1,Ciutat Vella,1,el Raval,220200,Montserrat,0003 0003,Dimarts,Dm,Laboral,2015,11,Novembre,10,21,No és causa del  vianant,Bicicleta,Desconegut,GME (General Motors),Desconegut,Desconegut,Desconegut,"4581186,82","431084,26"
2015S006709,1,Ciutat Vella,1,el Raval,269200,Portal de Santa Madrona,0004 0004,Diumenge,Dg,Laboral,2015,9,Setembre,6,6,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"4581148,02","431174,39"
2015S005828,1,Ciutat Vella,1,el Raval,157909,Hospital,0124 0124,Dimarts,Dm,Laboral,2015,7,Juliol,28,20,No és causa del  vianant,Bicicleta,ROCKRIDER,DECATHLON,Vermell,Desconegut,Desconegut,"4581436,40","430459,31"
