Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripciﾌ_ dia setmana,Dia setmana,Descripciﾌ_ tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripciﾌ_ causa vianant,tipus de vehicle,Descripciﾌ_ model,Descripciﾌ_ marca,Descripciﾌ_ color,Descripciﾌ_ carnet,Antiguitat carnet,Coordenada UTM (X),Coordenada UTM (Y), Longitud, Latitut
2016S000596    ,5,Sarriﾌﾊ-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",358059,Via Lﾌﾊctia,0012 0012,Diumenge,Dg,Laboral,2016,1,Gener,24,12,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"424974,51","4587061,56",2.100933,41.429766
2016S002992    ,5,Sarriﾌﾊ-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",320908,Sarriﾌﾊ a Vallvidrera,0227 0227,Dimecres,Dc,Laboral,2016,4,Abril,20,12,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"425209,33","4584831,94",2.104021,41.409704
2016S003444    ,5,Sarriﾌﾊ-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",90400,Alberes,0055B0055B,Dijous,Dj,Laboral,2016,5,Maig,5,11,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,B,32,"425601,41","4585416,99",2.108638,41.415009
2016S009726    ,4,Les Corts,21,Pedralbes,333400,Gonzﾌﾁlez Tablas,0002 0002,Dissabte,Ds,Laboral,2016,12,Desembre,17,17,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"425749,23","4582079,74",2.110819,41.384968
2016S005380    ,4,Les Corts,20,la Maternitat i Sant Ramon,700945,Josep Sunyol i Garriga,0009U0009U,Dissabte,Ds,Laboral,2016,7,Juliol,9,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"425772,22","4581195,87",2.111202,41.377008
2016S000269    ,3,Sants-Montjuﾌ,12,la Marina del Prat Vermell,175478,K Zona Franca,0032 0032,Dimecres,Dc,Laboral,2016,1,Gener,13,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BTWIN,Blau,Desconegut,Desconegut,"425800,17","4576580,82",2.112102,41.335445
2016S002783    ,3,Sants-Montjuﾌ,12,la Marina del Prat Vermell,700127,Major de Mercabarna,0068 0068,Dimecres,Dc,Laboral,2016,4,Abril,13,10,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"426026,6","4576056,67",2.114866,41.330747
2016S006612    ,5,Sarriﾌﾊ-Sant Gervasi,23,Sarriﾌﾊ,215302,Monestir,0012 0012,Dimarts,Dm,Laboral,2016,8,Agost,30,19,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"426090,59","4583447,36",2.11473,41.39732
2016S006612    ,5,Sarriﾌﾊ-Sant Gervasi,23,Sarriﾌﾊ,215302,Monestir,0012 0012,Dimarts,Dm,Laboral,2016,8,Agost,30,19,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"426090,59","4583447,36",2.11473,41.39732
2016S007738    ,4,Les Corts,20,la Maternitat i Sant Ramon,144601,Diagonal,0645 0645,Dimarts,Dm,Laboral,2016,10,Octubre,11,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,DECATHLON,Gris,Desconegut,Desconegut,"426268,48","4582116,12",2.117021,41.385349
