Codi_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal ,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK_Any,Mes_de_any,Nom_mes,Dia_de_mes,Hora_de_dia,Descripcio_causa_vianant,tipus de vehicle,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet,Coordenada_UTM_(X),Coordenada_UTM_(Y),Longitud,Latitud
2017S000006    ,1,Ciutat Vella,1,el Raval,352100,TALLERS                                           ,0004 0004,Diumenge,Dg,Laboral,2017,1,Gener,1,11,No Ã©s causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"430384,25","4582001,59",2.166257,41.38468
2017S000011    ,10,Sant MartÃ_,67,la Vila OlÃ_mpica del Poblenou,700662,Salvador Espriu,0073 0073,Diumenge,Dg,Laboral,2017,1,Gener,1,15,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"433205,10","4582713,55",2.199915,41.391332
2017S000022    ,5,SarriÃ -Sant Gervasi,26,Sant Gervasi - Galvany,28000,Augusta,0031 0031,Diumenge,Dg,Laboral,2017,1,Gener,1,22,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"429371,43","4583435,83",2.153976,41.397507
2017S000067    ,3,Sants-MontjuÃ¯c,18,Sants,98005,DaoÃ_z i Velarde,0035 0037,Dimarts,Dm,Laboral,2017,1,Gener,3,21,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"427482,28","4580848,28",2.131691,41.374039
2017S000068    ,2,Eixample,9,la Nova Esquerra de l'Eixample,100800,DiputaciÃ_,0070 0070,Dimarts,Dm,Laboral,2017,1,Gener,3,23,No Ã©s causa del  vianant,Bicicleta,Desconegut,ORBEA,Violeta,Desconegut,Desconegut,"429307,79","4581494,94",2.153437,41.38002
2017S000075    ,2,Eixample,9,la Nova Esquerra de l'Eixample,-1,CALÃ€BRIA / ValÃ¨ncia                               ,Desconegut,Dimecres,Dc,Laboral,2017,1,Gener,4,14,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre/Groc,Desconegut,Desconegut,429068.51,4581836.06,2.150545,41.383079
2017S000081    ,3,Sants-MontjuÃ¯c,11,el Poble-sec,43502,Blesa,0007 0007,Dimecres,Dc,Laboral,2017,1,Gener,4,17,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Taronja,Desconegut,Desconegut,"430557,92","4580601,62",2.168487,41.372086
2017S000091    ,3,Sants-MontjuÃ¯c,18,Sants,293000,Sagunt,0117 0117,Dimecres,Dc,Laboral,2017,1,Gener,4,19,Creuar per fora pas de vianants,Bicicleta,Desconegut,BTWIN,Blanc,Desconegut,Desconegut,"427868,02","4580802,00",2.136312,41.373659
2017S000121    ,10,Sant MartÃ_,66,el Parc i la Llacuna del Poblenou,270901,Pujades,0025 0025,Dijous,Dj,Laboral,2017,1,Gener,5,18,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"432361,30","4582994,70",2.189789,41.393793
2017S000129    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,223606,Muntaner,0048 0050,Divendres,Dv,Laboral,2017,1,Gener,6,0,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"429874,82","4582175,61",2.160138,41.386203
2017S000133    ,2,Eixample,7,la Dreta de l'Eixample,250904,Pelai,0031 0031,Divendres,Dv,Laboral,2017,1,Gener,6,12,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"430603,89","4582112,72",2.168864,41.385699
2017S000137    ,10,Sant MartÃ_,65,el Clot,60400,Canonge RodÃ_,0001S0001S,Divendres,Dv,Laboral,2017,1,Gener,6,22,No Ã©s causa del  vianant,Bicicleta,Desconegut,DERBI,Verd,Desconegut,Desconegut,"432181,99","4584767,31",2.187438,41.409746
2017S000143    ,2,Eixample,7,la Dreta de l'Eixample,305100,Sant Joan,0063 0063,Dissabte,Ds,Laboral,2017,1,Gener,7,4,No Ã©s causa del  vianant,Bicicleta,Desconegut,DECATHLON,Blau,Desconegut,Desconegut,"430890,20","4583377,03",2.172151,41.397117
2017S000155    ,1,Ciutat Vella,3,la Barceloneta,194202,Mar,0018 0018,Dissabte,Ds,Laboral,2017,1,Gener,7,14,No Ã©s causa del  vianant,Bicicleta,Desconegut,BTWIN,Gris,Desconegut,Desconegut,"432156,15","4581544,02",2.1875,41.380716
2017S000180    ,6,GrÃ cia,32,el Camp d'en Grassot i GrÃ cia Nova,286504,Roger de Flor,0306 0306,Dilluns,Dl,Laboral,2017,1,Gener,9,1,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"430366,92","4584158,39",2.165794,41.404106
2017S000246    ,10,Sant MartÃ_,69,Diagonal Mar i el Front MarÃ_tim del Poblenou,144601,Diagonal,0075 0075,Dimecres,Dc,Laboral,2017,1,Gener,11,7,No Ã©s causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"433934,99","4584604,71",2.208428,41.408424
2017S000274    ,3,Sants-MontjuÃ¯c,15,Hostafrancs,56005,Callao,0006 0006,Dimecres,Dc,Laboral,2017,1,Gener,11,23,No Ã©s causa del  vianant,Bicicleta,AFX,CONOR,Blanc,Desconegut,Desconegut,"428477,53","4581027,43",2.143567,41.37574
2017S000274    ,3,Sants-MontjuÃ¯c,15,Hostafrancs,56005,Callao,0006 0006,Dimecres,Dc,Laboral,2017,1,Gener,11,23,No Ã©s causa del  vianant,Bicicleta,BFOLD 3,BTWIN,Negre,Desconegut,Desconegut,"428477,53","4581027,43",2.143567,41.37574
2017S000300    ,2,Eixample,10,Sant Antoni,361406,Viladomat,0100 0100,Dijous,Dj,Laboral,2017,1,Gener,12,15,No Ã©s causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"429676,17","4581423,34",2.157858,41.379413
2017S000300    ,2,Eixample,10,Sant Antoni,361406,Viladomat,0100 0100,Dijous,Dj,Laboral,2017,1,Gener,12,15,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"429676,17","4581423,34",2.157858,41.379413
2017S000326    ,2,Eixample,9,la Nova Esquerra de l'Eixample,169409,Corts Catalanes,0399 0399,Divendres,Dv,Laboral,2017,1,Gener,13,15,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"429111,77","4581146,81",2.151134,41.376868
2017S000339    ,5,SarriÃ -Sant Gervasi,26,Sant Gervasi - Galvany,28000,Augusta,0033 0033,Divendres,Dv,Laboral,2017,1,Gener,13,17,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Platejat,Desconegut,Desconegut,"429359,04","4583452,63",2.15383,41.397659
