"","FITXA_ID","TIPUS","AREA","ELEMENT","DETALL","DIA_DATA_ALTA","MES_DATA_ALTA","ANY_DATA_ALTA","DIA_DATA_TANCAMENT","MES_DATA_TANCAMENT","ANY_DATA_TANCAMENT","CODI_DISTRICTE","DISTRICTE","CODI_BARRI","BARRI","SECCIO_CENSAL","TIPUS_VIA","CARRER","NUMERO","COORDENADA_X","COORDENADA_Y","LONGITUD","LATITUD","SUPORT","CANALS_RESPOSTA"
"1",134,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",26,11,2013,2,1,2014,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",63,"Carrer","Santaló",85,428371.3364,4583252.826,2.143141221,41.3976237,"TELÈFON","EMAIL"
"2",22,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",18,12,2013,2,1,2014,3,"Sants-Montjuïc",18,"Sants",105,"Carrer","Eusebi Planas",7,427889.1359,4580912.854,2.137652047,41.37650539,"TELÈFON","IMMEDIATA"
"3",16,"CONSULTA","Mobilitat","A peu o en bicicleta","Zones de vianants i carrils bici",26,12,2013,2,1,2014,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,"WEB","EMAIL"
"4",456,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",28,11,2013,3,1,2014,3,"Sants-Montjuïc",16,"la Bordeta",67,"Rambla","Badal",46,427567.904,4579938.298,2.133927403,41.36769908,"TELÈFON","NO VOL RESPOSTA"
"5",457,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",4,12,2013,3,1,2014,3,"Sants-Montjuïc",17,"Sants - Badal",76,"Carrer","Bonsoms",12,426978.6426,4580521.452,2.126812137,41.37289809,"WEB","EMAIL"
"6",498,"SUGGERIMENT","Mobilitat","Bicicletes","Servei bicing estació nova / canvi de lloc",2,1,2014,3,1,2014,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",23,"Carrer","Castellnou",69,427086.0922,4583217.346,2.127772437,41.39718863,"TELÈFON","EMAIL"
"7",899,"SUGGERIMENT","Mobilitat","Bicicletes","Carril bici nou / canvi lloc",10,10,2013,7,1,2014,7,"Horta-Guinardó",35,"el Guinardó",34,"Carrer","Rubió i Ors",51,431211.4651,4585656.878,2.176839589,41.41952417,"WEB","EMAIL"
"8",891,"SUGGERIMENT","Mobilitat","Bicicletes","Carril bici nou / canvi lloc",22,11,2013,7,1,2014,2,"Eixample",7,"la Dreta de l'Eixample",82,"Avinguda","Diagonal",361,430047.9886,4583191.678,2.16320318,41.39722057,"TELÈFON","EMAIL"
"9",800,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",12,12,2013,7,1,2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",86,"Carrer","París",177,429113.5426,4582720.402,2.152081258,41.39289412,"WEB","EMAIL"
"10",914,"INCIDENCIA","Mobilitat","Bicicletes","Carril bici incidències",16,12,2013,7,1,2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",92,"Carrer","Diputació",205,429888.4132,4581981.633,2.161434538,41.3863082,"WEB","EMAIL"
"11",817,"INCIDENCIA","Mobilitat","Bicicletes","Aparcament bicicletes incidències",17,12,2013,7,1,2014,9,"Sant Andreu",61,"la Sagrera",60,"Carrer","Portugal",60,432123.4558,4586485.892,2.187658843,41.42706838,"WEB","EMAIL"
"12",610,"SUGGERIMENT","Mobilitat","Bicicletes","Carril bici nou / canvi lloc",19,12,2013,7,1,2014,10,"Sant Martí",71,"Provençals del Poblenou",94,"Carrer","Josep Pla",111,433973.5317,4584912.471,2.209970129,41.41305122,"WEB","EMAIL"
"13",876,"SUGGERIMENT","Mobilitat","Bicicletes","Carril bici nou / canvi lloc",19,12,2013,7,1,2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",101,"Carrer","Provença",156,429144.4353,4582159.813,2.152516325,41.38784782,"TELÈFON","EMAIL"
"14",892,"INCIDENCIA","Mobilitat","Bicicletes","Aparcament bicicletes incidències",19,12,2013,7,1,2014,1,"Ciutat Vella",1,"el Raval",19,"Carrer","Rambla",91,430779.075,4581511.203,2.172139916,41.38214832,"WEB","EMAIL"
"15",875,"INCIDENCIA","Mobilitat","Bicicletes","Servei bicing incidències",24,12,2013,7,1,2014,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,"INSTÀNCIA","EMAIL"
"16",767,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",2,1,2014,7,1,2014,2,"Eixample",6,"la Sagrada Família",42,"Carrer","Lepant",350,430791.4689,4584394.991,2.171958546,41.40812274,"WEB","EMAIL"
"17",768,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",2,1,2014,7,1,2014,2,"Eixample",6,"la Sagrada Família",42,"Carrer","Lepant",350,430791.4689,4584394.991,2.171958546,41.40812274,"WEB","EMAIL"
"18",769,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",2,1,2014,7,1,2014,2,"Eixample",6,"la Sagrada Família",42,"Carrer","Lepant",350,430791.4689,4584394.991,2.171958546,41.40812274,"WEB","EMAIL"
"19",770,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",2,1,2014,7,1,2014,2,"Eixample",6,"la Sagrada Família",42,"Carrer","Lepant",350,430791.4689,4584394.991,2.171958546,41.40812274,"WEB","EMAIL"
"20",772,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",2,1,2014,7,1,2014,2,"Eixample",6,"la Sagrada Família",42,"Carrer","Lepant",350,430791.4689,4584394.991,2.171958546,41.40812274,"WEB","EMAIL"
"21",761,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",3,1,2014,7,1,2014,2,"Eixample",6,"la Sagrada Família",42,"Carrer","Lepant",350,430791.4689,4584394.991,2.171958546,41.40812274,"WEB","EMAIL"
"22",762,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",3,1,2014,7,1,2014,2,"Eixample",6,"la Sagrada Família",42,"Carrer","Lepant",350,430791.4689,4584394.991,2.171958546,41.40812274,"WEB","EMAIL"
"23",763,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",3,1,2014,7,1,2014,2,"Eixample",6,"la Sagrada Família",42,"Carrer","Lepant",350,430791.4689,4584394.991,2.171958546,41.40812274,"WEB","EMAIL"
"24",764,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",3,1,2014,7,1,2014,2,"Eixample",6,"la Sagrada Família",42,"Carrer","Lepant",350,430791.4689,4584394.991,2.171958546,41.40812274,"WEB","EMAIL"
"25",765,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",3,1,2014,7,1,2014,2,"Eixample",6,"la Sagrada Família",42,"Carrer","Lepant",350,430791.4689,4584394.991,2.171958546,41.40812274,"WEB","EMAIL"
"26",759,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",3,1,2014,7,1,2014,2,"Eixample",6,"la Sagrada Família",42,"Carrer","Lepant",350,430791.4689,4584394.991,2.171958546,41.40812274,"WEB","EMAIL"
