"","FITXA_ID","TIPUS","AREA","ELEMENT","DETALL","DIA_DATA_ALTA","MES_DATA_ALTA","ANY_DATA_ALTA","DIA_DATA_TANCAMENT","MES_DATA_TANCAMENT","ANY_DATA_TANCAMENT","CODI_DISTRICTE","DISTRICTE","CODI_BARRI","BARRI","SECCIO_CENSAL","TIPUS_VIA","CARRER","NUMERO","COORDENADA_X","COORDENADA_Y","LATITUD","LONGITUD","SUPORT","CANALS_RESPOSTA"
"1",402809,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",14,12,2016,3,1,2017,3,"Sants-Montjuïc",11,"el Poble-sec",11,"Carrer","Murillo",5,30030078,80701866,NA,NA,"TELÈFON","IMMEDIATA"
"2",403226,"QUEIXA","Mobilitat","Bicicletes","Bicicletes disciplina viària",23,12,2016,3,1,2017,6,"Gràcia",30,"la Salut",19,"Passatge","Garcia i Robles",19,28983882,84918237,NA,NA,"TELÈFON","NO VOL RESPOSTA"
"3",402859,"INCIDENCIA","Mobilitat","Bicicletes","Carril bici incidències",23,12,2016,3,1,2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample",110,"Carrer","Rosselló",109,28983538,82331954,41.387391,2.149354,"MÒBIL","EMAIL"
"4",402784,"INCIDENCIA","Mobilitat","Bicicletes","Bicicleta abandonada",2,1,2017,3,1,2017,1,"Ciutat Vella",1,"el Raval",18,"Carrer","Joaquín Costa",46,30314970,81806604,NA,NA,"TELÈFON","IMMEDIATA"
"5",402935,"QUEIXA","Mobilitat","Bicicletes","Bicicletes disciplina viària",2,1,2017,3,1,2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla",43,"Gran Via","Corts Catalanes",226,28387897,80365345,NA,NA,"TELÈFON","NO VOL RESPOSTA"
"6",403506,"SUGGERIMENT","Mobilitat","Bicicletes","Aparcament bicicleta nou / canvi lloc",1,12,2016,4,1,2017,10,"Sant Martí",65,"el Clot",41,"Avinguda","Meridiana",68,32154036,84227040,NA,NA,"WEB","EMAIL"
"7",403428,"INCIDENCIA","Mobilitat","Bicicletes","Registre bicicletes incidència tramitació",9,12,2016,4,1,2017,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,"WEB","EMAIL"
"8",403591,"SUGGERIMENT","Mobilitat","Bicicletes","Carril bici nou / canvi lloc",22,12,2016,4,1,2017,7,"Horta-Guinardó",33,"el Baix Guinardó",2,"Carrer","Taxdirt",23,30393294,84725937,NA,NA,"TELÈFON","CARTA"
"9",403321,"QUEIXA","Mobilitat","Bicicletes","Bicicletes disciplina viària",29,12,2016,4,1,2017,3,"Sants-Montjuïc",11,"el Poble-sec",24,"Plaça","Espanya",3,28903720,80823578,NA,NA,"WEB","EMAIL"
"10",403679,"INCIDENCIA","Mobilitat","Bicicletes","Servei bicing incidències",29,12,2016,5,1,2017,NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,"WEB","EMAIL"
