"","Var1","Freq.x","date.x","Freq.y","date.y","Freq.x.x","date.x.x","Freq.y.y","date.y.y","Freq","date"
"1","Aparcament bicicleta nou / canvi lloc",350,2018,343,2017,325,2016,234,2015,208,2014
"2","Aparcament bicicletes incidències",29,2018,52,2017,39,2016,37,2015,44,2014
"3","Aparcaments de bicicletes i punts de lloguer",12,2018,10,2017,15,2016,11,2015,2,2014
"4","Associacions i entitats",6,2018,13,2017,9,2016,8,2015,2,2014
"5","Bicicleta abandonada",199,2018,249,2017,239,2016,169,2015,199,2014
"6","Bicicletes disciplina viària",333,2018,356,2017,358,2016,172,2015,206,2014
"7","Carril bici incidències",29,2018,55,2017,98,2016,140,2015,115,2014
"8","Carril bici nou / canvi lloc",374,2018,379,2017,260,2016,113,2015,102,2014
"9","Carril bici pintura / senyalització",67,2018,21,2017,NA,NA,NA,NA,NA,NA
"10","Combinació bicicleta amb transport públic",5,2018,6,2017,7,2016,3,2015,1,2014
"11","Registre bicicletes incidència tramitació",29,2018,85,2017,29,2016,20,2015,5,2014
"12","Registre de bicicletes",9,2018,12,2017,16,2016,10,2015,1,2014
"13","Servei bicing estació nova / canvi de lloc",27,2018,46,2017,35,2016,30,2015,25,2014
"14","Servei bicing incidències",75,2018,122,2017,82,2016,71,2015,79,2014
"15","Zones de vianants i carrils bici",42,2018,62,2017,44,2016,20,2015,7,2014
